assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000026605.1	PRJNA224116	SAMEA2272197			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=H70		latest	Complete Genome	Major	Full	2009/03/26	ASM2660v1	The Wellcome Trust Sanger Institute	GCA_000026605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/605/GCF_000026605.1_ASM2660v1	./data/refseq/bacteria/GCF_000026605.1/GCF_000026605.1_ASM2660v1_assembly_stats.txt
GCF_009676645.1	PRJNA224116	SAMN13257491			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=OH-71905		latest	Complete Genome	Major	Full	2019/11/20	ASM967664v1	iowa state university	GCA_009676645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/676/645/GCF_009676645.1_ASM967664v1	./data/refseq/bacteria/GCF_009676645.1/GCF_009676645.1_ASM967664v1_assembly_stats.txt
GCF_009676685.2	PRJNA224116	SAMN13257910			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=TN-714097		latest	Complete Genome	Major	Full	2020/01/08	ASM967668v2	iowa state university	GCA_009676685.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/676/685/GCF_009676685.2_ASM967668v2	./data/refseq/bacteria/GCF_009676685.2/GCF_009676685.2_ASM967668v2_assembly_stats.txt
GCF_009676725.1	PRJNA224116	SAMN13257493			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=AZ-45470		latest	Complete Genome	Major	Full	2019/11/20	ASM967672v1	iowa state university	GCA_009676725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/676/725/GCF_009676725.1_ASM967672v1	./data/refseq/bacteria/GCF_009676725.1/GCF_009676725.1_ASM967672v1_assembly_stats.txt
GCF_015689355.1	PRJNA224116	SAMN16565170			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=SEZ18		latest	Complete Genome	Major	Full	2020/11/25	ASM1568935v1	Colorado State University	GCA_015689355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/355/GCF_015689355.1_ASM1568935v1	./data/refseq/bacteria/GCF_015689355.1/GCF_015689355.1_ASM1568935v1_assembly_stats.txt
GCF_015689375.1	PRJNA224116	SAMN16565171			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=SEZ25		latest	Complete Genome	Major	Full	2020/11/25	ASM1568937v1	Colorado State University	GCA_015689375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/375/GCF_015689375.1_ASM1568937v1	./data/refseq/bacteria/GCF_015689375.1/GCF_015689375.1_ASM1568937v1_assembly_stats.txt
GCF_015689395.1	PRJNA224116	SAMN16565168			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=SEZ13		latest	Complete Genome	Major	Full	2020/11/25	ASM1568939v1	Colorado State University	GCA_015689395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/395/GCF_015689395.1_ASM1568939v1	./data/refseq/bacteria/GCF_015689395.1/GCF_015689395.1_ASM1568939v1_assembly_stats.txt
GCF_015689415.1	PRJNA224116	SAMN16565169			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=SEZ14		latest	Complete Genome	Major	Full	2020/11/25	ASM1568941v1	Colorado State University	GCA_015689415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/415/GCF_015689415.1_ASM1568941v1	./data/refseq/bacteria/GCF_015689415.1/GCF_015689415.1_ASM1568941v1_assembly_stats.txt
GCF_015689435.1	PRJNA224116	SAMN16565172			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=SEZ28		latest	Complete Genome	Major	Full	2020/11/25	ASM1568943v1	Colorado State University	GCA_015689435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/435/GCF_015689435.1_ASM1568943v1	./data/refseq/bacteria/GCF_015689435.1/GCF_015689435.1_ASM1568943v1_assembly_stats.txt
GCF_015689455.1	PRJNA224116	SAMN16565173			representative genome		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=SEZ33		latest	Complete Genome	Major	Full	2020/11/25	ASM1568945v1	Colorado State University	GCA_015689455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/455/GCF_015689455.1_ASM1568945v1	./data/refseq/bacteria/GCF_015689455.1/GCF_015689455.1_ASM1568945v1_assembly_stats.txt
GCF_015767555.1	PRJNA224116	SAMN16565175			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=SEZ46		latest	Complete Genome	Major	Full	2020/12/06	ASM1576755v1	Colorado State University	GCA_015767555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/767/555/GCF_015767555.1_ASM1576755v1	./data/refseq/bacteria/GCF_015767555.1/GCF_015767555.1_ASM1576755v1_assembly_stats.txt
GCF_018140535.1	PRJNA224116	SAMN18752700			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=IN-6992		latest	Complete Genome	Major	Full	2021/04/26	ASM1814053v1	iowa state university	GCA_018140535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/140/535/GCF_018140535.1_ASM1814053v1	./data/refseq/bacteria/GCF_018140535.1/GCF_018140535.1_ASM1814053v1_assembly_stats.txt
GCF_900474805.1	PRJNA224116	SAMEA3542438			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=NCTC7022		latest	Complete Genome	Major	Full	2018/06/18	41800_D01	SC	GCA_900474805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/805/GCF_900474805.1_41800_D01	./data/refseq/bacteria/GCF_900474805.1/GCF_900474805.1_41800_D01_assembly_stats.txt
GCF_900474875.1	PRJNA224116	SAMEA3542451			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=NCTC12090		latest	Complete Genome	Major	Full	2018/06/18	41851_B01	SC	GCA_900474875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/875/GCF_900474875.1_41851_B01	./data/refseq/bacteria/GCF_900474875.1/GCF_900474875.1_41851_B01_assembly_stats.txt
GCF_900475125.1	PRJNA224116	SAMEA3597586			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=NCTC11606		latest	Complete Genome	Major	Full	2018/06/17	42042_H01	SC	GCA_900475125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/125/GCF_900475125.1_42042_H01	./data/refseq/bacteria/GCF_900475125.1/GCF_900475125.1_42042_H01_assembly_stats.txt
GCF_900475295.1	PRJNA224116	SAMEA3696439			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=NCTC6176		latest	Complete Genome	Major	Full	2018/06/17	43188_D01	SC	GCA_900475295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/295/GCF_900475295.1_43188_D01	./data/refseq/bacteria/GCF_900475295.1/GCF_900475295.1_43188_D01_assembly_stats.txt
GCF_900636805.1	PRJNA224116	SAMEA3871788			na		40041	1336	Streptococcus equi subsp. zooepidemicus	strain=NCTC6180		latest	Complete Genome	Major	Full	2018/12/20	44503_C02	SC	GCA_900636805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/805/GCF_900636805.1_44503_C02	./data/refseq/bacteria/GCF_900636805.1/GCF_900636805.1_44503_C02_assembly_stats.txt
GCF_018604585.1	PRJNA224116	SAMN18051983			na		148942	1336	Streptococcus equi subsp. equi	strain=489_010		latest	Chromosome	Major	Full	2021/06/01	ASM1860458v1	Texas A&M University	GCA_018604585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/585/GCF_018604585.1_ASM1860458v1	./data/refseq/bacteria/GCF_018604585.1/GCF_018604585.1_ASM1860458v1_assembly_stats.txt
GCF_018604605.1	PRJNA224116	SAMN18051979			na		148942	1336	Streptococcus equi subsp. equi	strain=489_005		latest	Chromosome	Major	Full	2021/06/01	ASM1860460v1	Texas A&M University	GCA_018604605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/605/GCF_018604605.1_ASM1860460v1	./data/refseq/bacteria/GCF_018604605.1/GCF_018604605.1_ASM1860460v1_assembly_stats.txt
GCF_018604625.1	PRJNA224116	SAMN18051978			na		148942	1336	Streptococcus equi subsp. equi	strain=489_004		latest	Complete Genome	Major	Full	2021/06/01	ASM1860462v1	Texas A&M University	GCA_018604625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/625/GCF_018604625.1_ASM1860462v1	./data/refseq/bacteria/GCF_018604625.1/GCF_018604625.1_ASM1860462v1_assembly_stats.txt
GCF_018604645.1	PRJNA224116	SAMN18051976			na		148942	1336	Streptococcus equi subsp. equi	strain=489_002		latest	Chromosome	Major	Full	2021/06/01	ASM1860464v1	Texas A&M University	GCA_018604645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/645/GCF_018604645.1_ASM1860464v1	./data/refseq/bacteria/GCF_018604645.1/GCF_018604645.1_ASM1860464v1_assembly_stats.txt
GCF_018604665.1	PRJNA224116	SAMN18051975			na		148942	1336	Streptococcus equi subsp. equi	strain=470_008		latest	Complete Genome	Major	Full	2021/06/01	ASM1860466v1	Texas A&M University	GCA_018604665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/665/GCF_018604665.1_ASM1860466v1	./data/refseq/bacteria/GCF_018604665.1/GCF_018604665.1_ASM1860466v1_assembly_stats.txt
GCF_018604685.1	PRJNA224116	SAMN18051974			na		148942	1336	Streptococcus equi subsp. equi	strain=470_007		latest	Complete Genome	Major	Full	2021/06/01	ASM1860468v1	Texas A&M University	GCA_018604685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/685/GCF_018604685.1_ASM1860468v1	./data/refseq/bacteria/GCF_018604685.1/GCF_018604685.1_ASM1860468v1_assembly_stats.txt
GCF_018604705.1	PRJNA224116	SAMN18051973			na		148942	1336	Streptococcus equi subsp. equi	strain=470_006		latest	Chromosome	Major	Full	2021/06/01	ASM1860470v1	Texas A&M University	GCA_018604705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/705/GCF_018604705.1_ASM1860470v1	./data/refseq/bacteria/GCF_018604705.1/GCF_018604705.1_ASM1860470v1_assembly_stats.txt
GCF_018604725.1	PRJNA224116	SAMN18051972			na		148942	1336	Streptococcus equi subsp. equi	strain=470_003		latest	Chromosome	Major	Full	2021/06/01	ASM1860472v1	Texas A&M University	GCA_018604725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/604/725/GCF_018604725.1_ASM1860472v1	./data/refseq/bacteria/GCF_018604725.1/GCF_018604725.1_ASM1860472v1_assembly_stats.txt
