assembly_accession	species	subsp	strain
GCF_005221825.1	Escherichia coli		117
GCF_005221845.1	Escherichia coli		115
GCF_005221865.1	Escherichia coli		116
GCF_005221885.1	Escherichia coli		143
GCF_005221905.1	Escherichia coli		142
GCF_005221925.1	Escherichia coli		140
GCF_005221945.1	Escherichia coli		139
GCF_005221965.1	Escherichia coli		138
GCF_005221985.1	Escherichia coli		131
GCF_005222005.1	Escherichia coli		122
GCF_005222025.1	Escherichia coli		121
GCF_005222045.1	Escherichia coli		119
GCF_005222065.1	Escherichia coli		118
GCF_005222265.1	Escherichia coli		114
GCF_005222285.1	Escherichia coli		112
GCF_005222305.1	Escherichia coli		109
GCF_005222325.1	Escherichia coli		108
GCF_005222345.1	Escherichia coli		106
GCF_005222365.1	Escherichia coli		105
GCF_005222385.1	Escherichia coli		113
GCF_005222405.1	Escherichia coli		111
GCF_005222425.1	Escherichia coli		110
GCF_005222445.1	Escherichia coli		107
GCF_005484365.1	Escherichia coli		AR24.2b
GCF_005671355.1	Escherichia coli		BA22372
GCF_005890115.1	Escherichia coli		BE104
GCF_005954605.1	Escherichia coli		KR2009
GCF_005954625.1	Escherichia coli		EK2009
GCF_005954725.1	Escherichia coli		S17-1
GCF_006088875.1	Escherichia coli		3385
GCF_006337025.1	Escherichia coli		K71-77
GCF_006351885.1	Escherichia coli		FC853_EC
GCF_006352265.1	Escherichia coli		A1_181
GCF_006364695.1	Escherichia coli		FDAARGOS_772
GCF_006536085.2	Escherichia coli		NIPH17_0020
GCF_006537505.2	Escherichia coli		NIPH17_0036
GCF_006777065.1	Escherichia coli		MSHS 472
GCF_006777085.1	Escherichia coli		MSHS 133
GCF_006874785.1	Escherichia coli		ATCC 43889
GCF_006937215.1	Escherichia coli		A1_180
GCF_006965465.1	Escherichia coli		U1
GCF_007012305.1	Escherichia coli		ECOL-18-VL-LA-PA-Ryan-0026
GCF_007107705.1	Escherichia coli		69
GCF_007107905.1	Escherichia coli		95
GCF_007108085.1	Escherichia coli		131
GCF_007108305.1	Escherichia coli		963
GCF_007108505.1	Escherichia coli		95
GCF_007108685.1	Escherichia coli		73
GCF_007108845.1	Escherichia coli		131
GCF_007109005.1	Escherichia coli		131
GCF_007109165.1	Escherichia coli		131
GCF_007109305.1	Escherichia coli		144
GCF_007109325.1	Escherichia coli		131
GCF_007109365.1	Escherichia coli		405
GCF_007109385.1	Escherichia coli		131
GCF_007109425.1	Escherichia coli		131
GCF_007109445.1	Escherichia coli		3057
GCF_007109465.1	Escherichia coli		131
GCF_007632435.1	Escherichia coli		Ec40743
GCF_007833255.1	Escherichia coli		PU-1
GCF_007833295.1	Escherichia coli		BCE049
GCF_007833875.1	Escherichia coli		UPEC132
GCF_007995175.1	Escherichia coli		LD91-1
GCF_008033295.1	Escherichia coli		ATCC BAA-196
GCF_008033315.1	Escherichia coli		ATCC BAA-196
GCF_008065455.1	Escherichia coli		RM10410
GCF_008080655.1	Escherichia coli		YY76-1
GCF_008124425.1	Escherichia coli		Ec-050
GCF_008152105.1	Escherichia coli		AR Bank #0349
GCF_008329665.1	Escherichia coli		ST130
GCF_008370755.1	Escherichia coli		ESBL 15
GCF_008375335.1	Escherichia coli		ETEC6
GCF_008632555.1	Escherichia coli		AR202.2
GCF_008632575.1	Escherichia coli		AR216.2b
GCF_008632595.1	Escherichia coli		ST95-32
GCF_008642395.1	Escherichia coli		631
GCF_008642415.1	Escherichia coli		1500
GCF_008761455.2	Escherichia coli		RM13752
GCF_008761475.2	Escherichia coli		RM13745
GCF_008761495.2	Escherichia coli		RM11911
GCF_008761515.1	Escherichia coli		RM9245
GCF_008807135.1	Escherichia coli		YPE10
GCF_008807155.1	Escherichia coli		YPE12
GCF_008807295.1	Escherichia coli		YPE3
GCF_008807655.1	Escherichia coli		15.TR.026_OXA
GCF_008823185.1	Escherichia coli		PK6
GCF_008824125.1	Escherichia coli		ecMN1F
GCF_008925965.1	Escherichia coli		NZRM4169
GCF_008926105.1	Escherichia coli		NZRM3614
GCF_008926125.1	Escherichia coli		ERL06-2503
GCF_008926165.1	Escherichia coli		ERL06-2442
GCF_008926305.1	Escherichia coli		ERL05-0623
GCF_008931185.1	Escherichia coli		ERL03-1416
GCF_008931725.1	Escherichia coli		JME67
GCF_008931745.1	Escherichia coli		JME65
GCF_008931765.1	Escherichia coli		JME64
GCF_008931865.1	Escherichia coli		JME66
GCF_008949495.1	Escherichia coli		XDL
GCF_009176965.1	Escherichia coli		GSH8M-2
GCF_009363035.1	Escherichia coli		LAU-OXA
GCF_009395265.1	Escherichia coli		ET12567
GCF_009431955.1	Escherichia coli		HB6
GCF_009432215.1	Escherichia coli		F1 E4
GCF_009432415.1	Escherichia coli		21B8
GCF_009432635.1	Escherichia coli		F3398
GCF_009432795.1	Escherichia coli		M7638
GCF_009432915.1	Escherichia coli		MA11
GCF_009433135.1	Escherichia coli		CV261
GCF_009577985.1	Escherichia coli		CCUG 73778
GCF_009648495.1	Escherichia coli		DH5alpha
GCF_009650035.1	Escherichia coli		AUSMDU00014361
GCF_009663855.1	Escherichia coli		INSC1002
GCF_009664185.1	Escherichia coli		SL112
GCF_009664205.1	Escherichia coli		AQ15
GCF_009664305.1	Escherichia coli		FSIS11705876
GCF_009664455.1	Escherichia coli		AUSMDU00002545
GCF_009671045.1	Escherichia coli		1916D18
GCF_009671085.1	Escherichia coli		1916D6
GCF_009671105.1	Escherichia coli		1919D3
GCF_009671125.1	Escherichia coli		1919D62
GCF_009720465.1	Escherichia coli		EC2
GCF_009720605.1	Escherichia coli		ECO2947
GCF_009738145.1	Escherichia coli		NT1F31
GCF_009738455.1	Escherichia coli		RM19259
GCF_009761715.1	Escherichia coli		PT109
GCF_009762385.1	Escherichia coli		P276M
GCF_009800245.1	Escherichia coli		lacZ_1
GCF_009800265.1	Escherichia coli		lacZ_2
GCF_009800285.1	Escherichia coli		lacZ_3
GCF_009800305.1	Escherichia coli		pdeL_1
GCF_009800325.1	Escherichia coli		pdeL_2_1
GCF_009800345.1	Escherichia coli		pdeL_2_2
GCF_009832985.1	Escherichia coli		BL21-AI
GCF_009866925.2	Escherichia coli		CFS3246
GCF_009867015.2	Escherichia coli		CFS3292
GCF_009867035.2	Escherichia coli		CFS3313
GCF_009905115.1	Escherichia coli		2EC1
GCF_009905135.1	Escherichia coli		94EC
GCF_009905355.1	Escherichia coli		LD27-1
GCF_009909465.1	Escherichia coli		LD39-1
GCF_009909485.1	Escherichia coli		LD26-1
GCF_009909505.1	Escherichia coli		LD93-1
GCF_009913415.1	Escherichia coli		LD22-1
GCF_009914295.1	Escherichia coli		PE15
GCF_009931435.1	Escherichia coli		EC42405
GCF_009948655.1	Escherichia coli		STEC719
GCF_009950125.1	Escherichia coli		STEC388
GCF_009951745.1	Escherichia coli		STEC309
GCF_009952125.1	Escherichia coli		STEC005
GCF_010092405.1	Escherichia coli		GZEC065
GCF_010092965.1	Escherichia coli		201609
GCF_010365325.1	Escherichia coli		9
GCF_010365345.1	Escherichia coli		32-4
GCF_010365365.1	Escherichia coli		64
GCF_010365385.1	Escherichia coli		142
GCF_010365405.1	Escherichia coli		61
GCF_010365465.1	Escherichia coli		124
GCF_010365485.1	Escherichia coli		53
GCF_010365505.1	Escherichia coli		163
GCF_010365525.1	Escherichia coli		164
GCF_010365545.1	Escherichia coli		38
GCF_010509415.1	Escherichia coli		NBRC 3301
GCF_010668985.1	Escherichia coli		ChlosBP-23-1
GCF_010669005.1	Escherichia coli		PapRG-06-3
GCF_010669025.1	Escherichia coli		PapRG-06-5
GCF_010706435.1	Escherichia coli		GW-AmxH19
GCF_010724935.1	Escherichia coli		E138
GCF_010725305.1	Escherichia coli		E302
GCF_011022275.1	Escherichia coli		190693
GCF_011044135.1	Escherichia coli		pV11-19-E11-025-038
GCF_011044355.1	Escherichia coli		EC28
GCF_011045235.1	Escherichia coli		PapM-32-1
GCF_011045255.1	Escherichia coli		E118
GCF_011045275.1	Escherichia coli		E597
GCF_011045295.1	Escherichia coli		E686
GCF_011045475.1	Escherichia coli		CM IVRI KOL-1
GCF_011045875.1	Escherichia coli		ZF31
GCF_011045895.1	Escherichia coli		ZF34
GCF_011064575.1	Escherichia coli		UMB200201_11
GCF_011067085.1	Escherichia coli		3R
GCF_011330935.2	Escherichia coli		p11A
GCF_011331065.1	Escherichia coli		p10A
GCF_011331215.2	Escherichia coli		p4A
GCF_011383085.1	Escherichia coli		JL05
GCF_011403355.1	Escherichia coli		2017.15.01CC
GCF_011404215.1	Escherichia coli		2017.01.04CC
GCF_011404355.1	Escherichia coli		2018-01-1CC
GCF_011404475.1	Escherichia coli		2018-06-4CC
GCF_011404595.1	Escherichia coli		2018-10-1CC
GCF_011404755.1	Escherichia coli		2018-11-3CC
GCF_011404895.1	Escherichia coli		2018-02-2CC
GCF_011492885.1	Escherichia coli		T28R
GCF_011492985.1	Escherichia coli		T16R
GCF_011691525.1	Escherichia coli		STB20-1
GCF_011769865.1	Escherichia coli		52148
GCF_011996085.1	Escherichia coli		CAU16175
GCF_012044775.1	Escherichia coli		PapM-36-2
GCF_012149945.1	Escherichia coli		09-02E
GCF_012221365.1	Escherichia coli		8-3-DC15
GCF_012221565.1	Escherichia coli		8-3-Ti3
GCF_012278675.1	Escherichia coli		54
GCF_012516455.1	Escherichia coli		SFE8
GCF_012537835.1	Escherichia coli		SCZE5
GCF_012934435.1	Escherichia coli		SCU-102
GCF_012934455.1	Escherichia coli		SCU-105
GCF_012934475.1	Escherichia coli		SCU-108
GCF_012934495.1	Escherichia coli		SCU-109
GCF_012934515.1	Escherichia coli		SCU-111
GCF_012934535.1	Escherichia coli		SCU-112
GCF_012934555.1	Escherichia coli		SCU-116
GCF_012934575.1	Escherichia coli		SCU-118
GCF_012934595.1	Escherichia coli		SCU-122
GCF_012934615.1	Escherichia coli		SCU-123
GCF_012934635.1	Escherichia coli		SCU-124
GCF_012934655.2	Escherichia coli		SCU-125
GCF_012934675.1	Escherichia coli		SCU-152
GCF_012934695.1	Escherichia coli		SCU-301
GCF_012934715.1	Escherichia coli		SCU-313
GCF_012934765.1	Escherichia coli		SCU-387
GCF_012934785.1	Escherichia coli		SCU-484
GCF_012935215.1	Escherichia coli		CVM N18EC0432
GCF_012974525.1	Escherichia coli		C21
GCF_012974565.1	Escherichia coli		SCU-101
GCF_012974805.1	Escherichia coli		ATCC 25922
GCF_013004045.1	Escherichia coli		HB37
GCF_013085025.1	Escherichia coli		SCU-482
GCF_013085205.1	Escherichia coli		SCU-485
GCF_013085865.1	Escherichia coli		SCU-308
GCF_013085905.2	Escherichia coli		SCU-204
GCF_013112335.1	Escherichia coli		GF3-3
GCF_013122565.1	Escherichia coli		GF4-3
GCF_013166855.1	Escherichia coli		NEBExpress_Iq
GCF_013166875.1	Escherichia coli		T7Express_Crystal
GCF_013166895.1	Escherichia coli		T7Express_LysY
GCF_013166935.1	Escherichia coli		NEBExpress
GCF_013166955.1	Escherichia coli		Nico21(DE3)
GCF_013167035.1	Escherichia coli		NEB10-beta
GCF_013167055.1	Escherichia coli		NEB_Turbo
GCF_013167075.1	Escherichia coli		NEB5-alpha_F'Iq
GCF_013201175.1	Escherichia coli		CP131_Sichuan
GCF_013201195.1	Escherichia coli		CP66-6_Sichuan
GCF_013201215.1	Escherichia coli		CP61_Sichuan
GCF_013201235.1	Escherichia coli		CP8-3_Sichuan
GCF_013201255.1	Escherichia coli		CP55_Sichuan
GCF_013201505.1	Escherichia coli		2-101
GCF_013201525.1	Escherichia coli		J31
GCF_013282195.1	Escherichia coli		NMBU_ W06E18
GCF_013282275.1	Escherichia coli		NMBU_W05E18
GCF_013282335.1	Escherichia coli		NMBU-W13E19
GCF_013282355.1	Escherichia coli		NMBU-W10C18
GCF_013315695.1	Escherichia coli		SCU-172
GCF_013315715.1	Escherichia coli		SCU-171
GCF_013315735.1	Escherichia coli		SCU-115
GCF_013315755.1	Escherichia coli		SCU-316
GCF_013315975.1	Escherichia coli		SCU-113
GCF_013315995.1	Escherichia coli		SCU-104
GCF_013317085.1	Escherichia coli		MS6193
GCF_013340785.1	Escherichia coli		TUM18530
GCF_013340805.1	Escherichia coli		TUM18780
GCF_013342925.1	Escherichia coli		LWY24
GCF_013344585.1	Escherichia coli		SCU-182
GCF_013347985.1	Escherichia coli		SCU-164
GCF_013357345.1	Escherichia coli		MS6192
GCF_013357365.1	Escherichia coli		RM13322
GCF_013371685.1	Escherichia coli		AH01
GCF_013371725.1	Escherichia coli		AH25
GCF_013371745.1	Escherichia coli		AH62
GCF_013372305.1	Escherichia coli		EcPF40
GCF_013372325.1	Escherichia coli		EcPF18
GCF_013372365.1	Escherichia coli		EcPF15
GCF_013372385.1	Escherichia coli		EcPF14
GCF_013372405.1	Escherichia coli		EcPF7
GCF_013374235.2	Escherichia coli		M505
GCF_013374255.1	Escherichia coli		YJ1
GCF_013374275.1	Escherichia coli		YJ3
GCF_013374295.2	Escherichia coli		YJ4
GCF_013374315.1	Escherichia coli		YJ6
GCF_013374335.1	Escherichia coli		F070
GCF_013376515.1	Escherichia coli		17MR471
GCF_013376575.1	Escherichia coli		ARL09/232
GCF_013376895.1	Escherichia coli		357900
GCF_013388275.1	Escherichia coli		550
GCF_013389615.1	Escherichia coli		AMSCJX04
GCF_013389695.1	Escherichia coli		AH65
GCF_013390265.1	Escherichia coli		M1/5
GCF_013391825.1	Escherichia coli		AMSCJX03
GCF_013393825.1	Escherichia coli		FT130
GCF_013394575.1	Escherichia coli		K56-43-un
GCF_013402855.1	Escherichia coli		EC2
GCF_013402895.1	Escherichia coli		EC1
GCF_013425955.1	Escherichia coli		2D
GCF_013426075.1	Escherichia coli		WCHEC035123
GCF_013426095.1	Escherichia coli		WCHEC035125
GCF_013426115.1	Escherichia coli		005008
GCF_013459015.1	Escherichia coli		CE1803A
GCF_013459175.1	Escherichia coli		CE1628
GCF_013694285.1	Escherichia coli		1506
GCF_013694325.1	Escherichia coli		C9
GCF_013694345.1	Escherichia coli		SY3626_hybrid
GCF_013694465.1	Escherichia coli		C7
GCF_014058445.2	Escherichia coli		MBT-5
GCF_014075335.1	Escherichia coli		90-1
GCF_014075475.1	Escherichia coli		74-2
GCF_014075595.1	Escherichia coli		63-2
GCF_014075795.1	Escherichia coli		58-3
GCF_014075915.1	Escherichia coli		33-6
GCF_014076685.2	Escherichia coli		1409
GCF_014117345.1	Escherichia coli		E2348/69
GCF_014117405.1	Escherichia coli		BUCT2930
GCF_014157395.1	Escherichia coli		WP2-W18-ESBL-10
GCF_014160155.1	Escherichia coli		WP5-S17-ESBL-11
GCF_014162235.1	Escherichia coli		WP8-S17-ESBL-08
GCF_014168595.1	Escherichia coli		WP2-W18-CRE-03
GCF_014168675.1	Escherichia coli		WP2-W18-ESBL-08
GCF_014168735.1	Escherichia coli		WP2-S18-ESBL-07
GCF_014168755.1	Escherichia coli		WP2-S18-ESBL-08
GCF_014168775.1	Escherichia coli		WP3-W18-CRE-03
GCF_014168835.1	Escherichia coli		WP3-W18-ESBL-07
GCF_014168855.1	Escherichia coli		WP3-W18-ESBL-08
GCF_014168935.1	Escherichia coli		WP3-S18-ESBL-07
GCF_014168955.1	Escherichia coli		WP3-S18-ESBL-08
GCF_014168975.1	Escherichia coli		WP3-S18-ESBL-09
GCF_014169015.1	Escherichia coli		WP4-S17-ESBL-03
GCF_014169035.1	Escherichia coli		WP4-S17-ESBL-08
GCF_014169095.1	Escherichia coli		WP4-W18-ESBL-08
GCF_014169115.1	Escherichia coli		WP4-W18-ESBL-09
GCF_014169155.1	Escherichia coli		WP4-S18-ESBL-08
GCF_014169175.1	Escherichia coli		WP4-S18-ESBL-09
GCF_014169195.1	Escherichia coli		WP5-S17-ESBL-10
GCF_014169275.1	Escherichia coli		WP5-W18-ESBL-11
GCF_014169395.1	Escherichia coli		WP5-S18-ESBL-07
GCF_014169415.1	Escherichia coli		WP5-S18-ESBL-08
GCF_014169435.1	Escherichia coli		WP5-S18-ESBL-09
GCF_014169455.1	Escherichia coli		WP7-S17-ESBL-01
GCF_014169475.1	Escherichia coli		WP7-S17-ESBL-04
GCF_014169575.1	Escherichia coli		WP7-S18-ESBL-09
GCF_014169595.1	Escherichia coli		WP8-S17-ESBL-05
GCF_014169615.1	Escherichia coli		WP8-S17-ESBL-12
GCF_014169695.1	Escherichia coli		WP8-S18-CRE-02
GCF_014169775.1	Escherichia coli		WP8-S18-ESBL-07
GCF_014169855.1	Escherichia coli		WP9-S17-ESBL-11
GCF_014169895.1	Escherichia coli		BEC1-S17-ESBL-07
GCF_014169915.1	Escherichia coli		BEC1-S17-ESBL-09
GCF_014169995.1	Escherichia coli		IDR1900005638-01-02
GCF_014170615.1	Escherichia coli		181.1
GCF_014170635.1	Escherichia coli		81.1
GCF_014170675.1	Escherichia coli		64.1
GCF_014170865.1	Escherichia coli		28.1
GCF_014170975.1	Escherichia coli		268.2
GCF_014170995.1	Escherichia coli		98.1
GCF_014171015.1	Escherichia coli		WP4-S18-ESBL-07
GCF_014189395.1	Escherichia coli		N18-04097
GCF_014295215.1	Escherichia coli		G8
GCF_014295255.1	Escherichia coli		G4/9
GCF_014295275.1	Escherichia coli		G3/10
GCF_014295295.1	Escherichia coli		G5
GCF_014295315.1	Escherichia coli		G1/2
GCF_014338505.1	Escherichia coli		MFDpir
GCF_014338525.1	Escherichia coli		ST18
GCF_014361285.1	Escherichia coli		EC96
GCF_014522225.1	Escherichia coli		EC931
GCF_014522245.1	Escherichia coli		UPEC_U013
GCF_014541045.1	Escherichia coli		DA61218
GCF_014605875.1	Escherichia coli		EC93
GCF_014607515.1	Escherichia coli		RM9872-C1
GCF_014622725.1	Escherichia coli		LD67-1
GCF_014656605.1	Escherichia coli		M11957
GCF_014656625.1	Escherichia coli		M00057
GCF_014679325.1	Escherichia coli		HUE1
GCF_014705965.1	Escherichia coli		WEM25
GCF_014805805.1	Escherichia coli		SMBL
GCF_014826015.1	Escherichia coli		JS316
GCF_014854575.1	Escherichia coli		C311
GCF_014854635.1	Escherichia coli		L3Cip3
GCF_014854675.1	Escherichia coli		K_EC180
GCF_014858525.1	Escherichia coli		UTI89
GCF_014863625.1	Escherichia coli		AML001_ev03
GCF_014863645.1	Escherichia coli		AML001_ev02
GCF_014863665.1	Escherichia coli		AML001_ev01
GCF_014863685.1	Escherichia coli		AML001_par
GCF_014863705.1	Escherichia coli		AML003_ev03
GCF_014863725.1	Escherichia coli		AML003_ev02
GCF_014863745.1	Escherichia coli		AML003_ev01
GCF_014863765.1	Escherichia coli		AML002_ev03
GCF_014863785.1	Escherichia coli		AML003_par
GCF_014863805.1	Escherichia coli		AML002_ev02
GCF_014863825.1	Escherichia coli		AML002_ev01
GCF_014863845.1	Escherichia coli		AML002_par
GCF_014898615.1	Escherichia coli		188B
GCF_014898635.1	Escherichia coli		188
GCF_014904135.2	Escherichia coli		NT1N34
GCF_014904145.2	Escherichia coli		NT1W25
GCF_014904175.2	Escherichia coli		NT1N28
GCF_014904185.2	Escherichia coli		NT1W22
GCF_014904215.2	Escherichia coli		NT1N31
GCF_014904235.2	Escherichia coli		NT1N25
GCF_014904265.2	Escherichia coli		NT1F34
GCF_014904315.2	Escherichia coli		NT1F25
GCF_014904435.2	Escherichia coli		NT1F10
GCF_014930915.1	Escherichia coli		KC-Dl-1
GCF_014962565.1	Escherichia coli		M7424
GCF_015033265.1	Escherichia coli		ERP001
GCF_015135355.1	Escherichia coli		STW0522-31
GCF_015136715.1	Escherichia coli		STN0717-11
GCF_015136895.1	Escherichia coli		STN0717-20
GCF_015138575.1	Escherichia coli		THO-003
GCF_015138955.1	Escherichia coli		THO-006
GCF_015139155.1	Escherichia coli		THO-008
GCF_015139375.1	Escherichia coli		THO-010
GCF_015139735.1	Escherichia coli		THO-015
GCF_015290725.1	Escherichia coli		25DN
GCF_015291785.1	Escherichia coli		R1
GCF_015508805.1	Escherichia coli		JE86-ST02
GCF_015509005.1	Escherichia coli		JE86-ST05
GCF_015571535.1	Escherichia coli		Res13-Sevr-PER07-33
GCF_015571555.1	Escherichia coli		Res13-Sevr-PER06-05-b-A
GCF_015571615.1	Escherichia coli		Res13-Lact-PER12-33-A
GCF_015571635.1	Escherichia coli		Res13-Lact-PER04-33
GCF_015571655.1	Escherichia coli		Res13-Lact-PER02-33
GCF_015571755.1	Escherichia coli		Res13-Lact-PEA14-20
GCF_015571775.1	Escherichia coli		Res13-Lact-PEA06-10
GCF_015571815.1	Escherichia coli		Res13-Lact-PEB14-36
GCF_015571835.1	Escherichia coli		Res13-Lact-PEB01-20
GCF_015571875.1	Escherichia coli		Res13-Lact-ER02-39
GCF_015571955.1	Escherichia coli		Res13-Lact-EB12-05
GCF_015649805.1	Escherichia coli		20
GCF_015843075.1	Escherichia coli		W60
GCF_015910185.1	Escherichia coli		Eco-15
GCF_016026195.1	Escherichia coli		FDAARGOS_946
GCF_016026215.1	Escherichia coli		FDAARGOS_945
GCF_016026235.1	Escherichia coli		FDAARGOS_944
GCF_016026355.1	Escherichia coli		FDAARGOS_942
GCF_016026375.1	Escherichia coli		FDAARGOS_941
GCF_016126995.1	Escherichia coli		FDAARGOS_1058
GCF_016127695.1	Escherichia coli		FDAARGOS_1059
GCF_016132505.1	Escherichia coli		ZLWT
GCF_016432785.1	Escherichia coli		1EC213
GCF_016432805.1	Escherichia coli		1EC187
GCF_016446335.1	Escherichia coli		QEC11-421
GCF_016592875.1	Escherichia coli		2018-18.25PC
GCF_016598635.1	Escherichia coli		TCM3e1
GCF_016629485.1	Escherichia coli		TA8571
GCF_016659085.1	Escherichia coli		CV601
GCF_016696665.1	Escherichia coli		U90
GCF_016728085.1	Escherichia coli		FDAARGOS_1077
GCF_016757655.1	Escherichia coli		M-17
GCF_016767775.1	Escherichia coli		MS1170
GCF_016772495.1	Escherichia coli		EF7-18-58
GCF_016774415.1	Escherichia coli		J53-p1-pV-hybrid-1
GCF_016775805.1	Escherichia coli		RIVM_C030256
GCF_016775845.1	Escherichia coli		RIVM_C018567
GCF_016775865.1	Escherichia coli		RIVM_C030300
GCF_016775885.1	Escherichia coli		RIVM_C030453
GCF_016775905.1	Escherichia coli		RIVM_C030443
GCF_016775925.1	Escherichia coli		RIVM_C029324
GCF_016775945.1	Escherichia coli		RIVM_C029020
GCF_016775965.1	Escherichia coli		RIVM_C029951
GCF_016775985.1	Escherichia coli		RIVM_C030371
GCF_016776005.1	Escherichia coli		RIVM_C029494
GCF_016776025.1	Escherichia coli		RIVM_C030197
GCF_016776045.1	Escherichia coli		RIVM_C018563
GCF_016776065.1	Escherichia coli		RIVM_C017997
GCF_016776085.1	Escherichia coli		RIVM_C028613
GCF_016776105.1	Escherichia coli		RIVM_C029042
GCF_016776125.1	Escherichia coli		RIVM_C028497
GCF_016776145.1	Escherichia coli		RIVM_C028568
GCF_016776165.1	Escherichia coli		RIVM_C029033
GCF_016776185.1	Escherichia coli		RIVM_C028786
GCF_016776205.1	Escherichia coli		RIVM_C028803
GCF_016776225.1	Escherichia coli		RIVM_C028724
GCF_016776245.1	Escherichia coli		RIVM_C028536
GCF_016776265.1	Escherichia coli		RIVM_C018576
GCF_016776285.1	Escherichia coli		RIVM_C028620
GCF_016776305.1	Escherichia coli		RIVM_C017887
GCF_016776325.1	Escherichia coli		RIVM_C018583
GCF_016776345.1	Escherichia coli		RIVM_C018404
GCF_016776365.1	Escherichia coli		RIVM_C018249
GCF_016776385.1	Escherichia coli		RIVM_C018220
GCF_016779865.1	Escherichia coli		RIVM_C018699
GCF_016780285.1	Escherichia coli		RIVM_C011532
GCF_016780415.1	Escherichia coli		RIVM_C012087
GCF_016780575.1	Escherichia coli		RIVM_C018707
GCF_016780725.1	Escherichia coli		EE72d
GCF_016801475.1	Escherichia coli		RIVM_C036689
GCF_016803855.1	Escherichia coli		RUT3575
GCF_016803875.1	Escherichia coli		FHI_NMBU_11
GCF_016803915.1	Escherichia coli		FHI_NMBU_10
GCF_016806005.1	Escherichia coli		XH988
GCF_016806025.1	Escherichia coli		XH993
GCF_016806045.1	Escherichia coli		XH992
GCF_016864175.1	Escherichia coli		DE17
GCF_016888925.1	Escherichia coli		FDAARGOS_1260
GCF_016888965.1	Escherichia coli		FDAARGOS_1261
GCF_016889025.1	Escherichia coli		FDAARGOS_1251
GCF_016889045.1	Escherichia coli		FDAARGOS_1255
GCF_016889085.1	Escherichia coli		FDAARGOS_1256
GCF_016889105.1	Escherichia coli		FDAARGOS_1254
GCF_016889125.1	Escherichia coli		FDAARGOS_1249
GCF_016889185.1	Escherichia coli		FDAARGOS_1257
GCF_016889265.1	Escherichia coli		FDAARGOS_1264
GCF_016889325.1	Escherichia coli		FDAARGOS_1258
GCF_016889485.1	Escherichia coli		E41
GCF_016889505.1	Escherichia coli		ECY44
GCF_016889525.1	Escherichia coli		EA7
GCF_016889545.1	Escherichia coli		EA2
GCF_016889565.1	Escherichia coli		EA13
GCF_016889605.1	Escherichia coli		FDAARGOS_1268
GCF_016889625.1	Escherichia coli		FDAARGOS_1262
GCF_016889685.1	Escherichia coli		FDAARGOS_1267
GCF_016889725.1	Escherichia coli		FDAARGOS_1252
GCF_016889845.1	Escherichia coli		FDAARGOS_1248
GCF_016889865.1	Escherichia coli		FDAARGOS_1253
GCF_016889905.1	Escherichia coli		FDAARGOS_1259
GCF_016890005.1	Escherichia coli		FDAARGOS_1250
GCF_016890045.1	Escherichia coli		FDAARGOS_1265
GCF_016890105.1	Escherichia coli		FDAARGOS_1266
GCF_016903275.1	Escherichia coli		FDAARGOS_1282
GCF_016903315.1	Escherichia coli		FDAARGOS_1289
GCF_016903335.1	Escherichia coli		FDAARGOS_1295
GCF_016903375.1	Escherichia coli		FDAARGOS_1286
GCF_016903435.1	Escherichia coli		FDAARGOS_1302
GCF_016903535.1	Escherichia coli		FDAARGOS_1373
GCF_016903595.1	Escherichia coli		FDAARGOS_1279
GCF_016903615.1	Escherichia coli		FDAARGOS_1304
GCF_016903815.1	Escherichia coli		FDAARGOS_1280
GCF_016903835.1	Escherichia coli		FDAARGOS_1299
GCF_016903855.1	Escherichia coli		FDAARGOS_1291
GCF_016903915.1	Escherichia coli		FDAARGOS_1300
GCF_016903935.1	Escherichia coli		FDAARGOS_1288
GCF_016903995.1	Escherichia coli		FDAARGOS_1337
GCF_016904055.1	Escherichia coli		FDAARGOS_1293
GCF_016904075.1	Escherichia coli		FDAARGOS_1303
GCF_016904115.1	Escherichia coli		FDAARGOS_1290
GCF_016904175.1	Escherichia coli		FDAARGOS_1372
GCF_016904195.1	Escherichia coli		FDAARGOS_1296
GCF_016904255.1	Escherichia coli		FDAARGOS_1371
GCF_016904335.1	Escherichia coli		FDAARGOS_1370
GCF_016904395.1	Escherichia coli		FDAARGOS_1277
GCF_016904435.1	Escherichia coli		FDAARGOS_1301
GCF_016904455.1	Escherichia coli		FDAARGOS_1298
GCF_016904475.1	Escherichia coli		FDAARGOS_1292
GCF_016904495.1	Escherichia coli		FDAARGOS_1281
GCF_016904535.1	Escherichia coli		FDAARGOS_1297
GCF_016904555.1	Escherichia coli		FDAARGOS_1285
GCF_016904575.1	Escherichia coli		FDAARGOS_1276
GCF_016904615.1	Escherichia coli		FDAARGOS_1283
GCF_016904655.1	Escherichia coli		FDAARGOS_1284
GCF_016904695.1	Escherichia coli		10R
GCF_016916555.1	Escherichia coli		S1
GCF_016939795.1	Escherichia coli		ESC53083
GCF_016942475.1	Escherichia coli		BS74R-D
GCF_016942505.1	Escherichia coli		BS90R-A
GCF_016942535.1	Escherichia coli		BS15R-A
GCF_016942575.1	Escherichia coli		EM22-18-53
GCF_016942595.1	Escherichia coli		EM20-18-50
GCF_016942615.1	Escherichia coli		EM18-18-42
GCF_016942635.1	Escherichia coli		EM10-18-28
GCF_016942655.1	Escherichia coli		EM06-18-14
